Matrix size;Threads per block;Time(ms);Time(s)
2;2;0.010688;0.000011
2;4;0.009056;0.000009
2;8;0.008672;0.000009
2;16;0.008864;0.000009
2;32;0.008832;0.000009
4;2;0.009088;0.000009
4;4;0.009280;0.000009
4;8;0.008928;0.000009
4;16;0.008736;0.000009
4;32;0.009088;0.000009
8;2;0.009184;0.000009
8;4;0.009184;0.000009
8;8;0.008896;0.000009
8;16;0.009056;0.000009
8;32;0.009056;0.000009
16;2;0.009600;0.000010
16;4;0.009248;0.000009
16;8;0.009312;0.000009
16;16;0.009248;0.000009
16;32;0.009248;0.000009
32;2;0.010976;0.000011
32;4;0.009952;0.000010
32;8;0.009888;0.000010
32;16;0.009568;0.000010
32;32;0.010528;0.000011
64;2;0.020064;0.000020
64;4;0.013600;0.000014
64;8;0.010496;0.000010
64;16;0.010464;0.000010
64;32;0.011808;0.000012
128;2;0.092384;0.000092
128;4;0.042080;0.000042
128;8;0.025376;0.000025
128;16;0.019072;0.000019
128;32;0.021536;0.000022
256;2;0.667474;0.000667
256;4;0.285645;0.000286
256;8;0.150805;0.000151
256;16;0.101507;0.000102
256;32;0.086078;0.000086
512;2;5.180784;0.005181
512;4;2.162535;0.002163
512;8;1.100927;0.001101
512;16;0.699200;0.000699
512;32;0.571632;0.000572
636;2;8.756653;0.008757
636;4;2.990935;0.002991
636;8;1.555328;0.001555
636;16;1.213114;0.001213
636;32;1.066471;0.001066
774;2;15.724415;0.015724
774;4;5.207307;0.005207
774;8;2.695244;0.002695
774;16;2.136305;0.002136
774;32;1.962502;0.001963
892;2;23.440107;0.023440
892;4;7.405398;0.007405
892;8;3.860657;0.003861
892;16;3.244362;0.003244
892;32;2.934663;0.002935
1024;2;41.217781;0.041218
1024;4;17.120441;0.017120
1024;8;8.547556;0.008548
1024;16;5.384735;0.005385
1024;32;4.418828;0.004419
1280;2;103.405975;0.103406
1280;4;34.134678;0.034135
1280;8;16.875824;0.016876
1280;16;12.549891;0.012550
1280;32;9.800731;0.009801
1408;2;137.385345;0.137385
1408;4;45.480373;0.045480
1408;8;22.248709;0.022249
1408;16;16.614393;0.016614
1408;32;13.071391;0.013071
1536;2;178.875488;0.178875
1536;4;59.174202;0.059174
1536;8;28.891100;0.028891
1536;16;21.569170;0.021569
1536;32;16.990511;0.016991
2048;2;425.810211;0.425810
2048;4;141.394913;0.141395
2048;8;68.455826;0.068456
2048;16;50.812359;0.050812
2048;32;40.027157;0.040027
4096;2;3478.113281;3.478113
4096;4;1148.050049;1.148050
4096;8;641.351685;0.641352
4096;16;405.770630;0.405771
4096;32;319.061707;0.319062
8192;2;28261.740234;28.261740
8192;4;9247.128906;9.247128
8192;8;6840.626465;6.840626
8192;16;3411.448486;3.411448
8192;32;2573.154053;2.573154

Total execution time: 1890.158118 seconds
Iterations: 32
Experiment WITHOUT taking into account CUDA memory allocation and matrices copying (host-device and device-host). Only kernel execution time.
Benchmark completed.
