Matrix size;Threads per block;Time(ms);Time(s)
2;4;0,855858;0,000856
4;4;0,875554;0,000876
8;4;0,870908;0,000871
16;4;0,866735;0,000867
32;4;0,871416;0,000871
64;4;0,883954;0,000884
128;4;0,947627;0,000948
256;4;1,375409;0,001375
512;4;4,699643;0,004700
636;4;6,648901;0,006649
774;4;9,294986;0,009295
892;4;12,027127;0,012027
1024;4;22,506321;0,022506
1280;4;41,916702;0,041917
1408;4;54,437420;0,054437
1536;4;68,653496;0,068653
2048;4;156,824036;0,156824
4096;4;1187,681030;1,187681
8192;4;9356,044922;9,356045

all time
