Matrix size;Threads per block;Time(ms);Time(s)
2;4;0,009056;0,000009
4;4;0,009280;0,000009
8;4;0,009184;0,000009
16;4;0,009248;0,000009
32;4;0,009952;0,000010
64;4;0,013600;0,000014
128;4;0,042080;0,000042
256;4;0,285645;0,000286
512;4;2,162535;0,002163
636;4;2,990935;0,002991
774;4;5,207307;0,005207
892;4;7,405398;0,007405
1024;4;17,120441;0,017120
1280;4;34,134678;0,034135
1408;4;45,480373;0,045480
1536;4;59,174202;0,059174
2048;4;141,394913;0,141395
4096;4;1148,050049;1,148050
8192;4;9247,128906;9,247128

only kernel time
